playerid,yearid,stint,teamid,lgid,position,games,games_started,innouts,putouts,assists,errors,double_plays,passed_balls,wild_pitches,opp_sbs,opp_cs,zone_rating
healyfr01,1932,1,NY1,NL,C,11,,,43,5,2,0,1,,,,
heathcl01,1932,2,PHI,NL,1B,7,,,47,3,2,7,,,,,
heathmi01,1932,1,CIN,NL,1B,39,,,399,31,4,28,,,,,
heberwa01,1932,1,SLA,AL,P,35,,,9,22,1,0,,,,,
heilmha01,1932,1,CIN,NL,1B,6,,,49,3,1,2,,,,,
heimafr01,1932,1,BRO,NL,P,36,,,10,41,0,1,,,,,
hemslro01,1932,1,CHN,NL,C,47,,,173,17,5,3,4,,,,
hemslro01,1932,1,CHN,NL,OF,1,,,1,1,0,0,,,,,
hendrha01,1932,1,SLN,NL,3B,12,,,8,17,4,3,,,,,
hendrha01,1932,1,SLN,NL,OF,5,,,6,1,0,0,,,,,
hendrha01,1932,2,CIN,NL,1B,94,,,922,60,14,72,,,,,
hermaba01,1932,1,CIN,NL,OF,146,,,392,18,13,6,,,,,
hermabi01,1932,1,CHN,NL,2B,154,,,401,527,38,102,,,,,
herriar01,1932,1,DET,AL,P,12,,,0,6,0,1,,,,,
herrmle01,1932,1,CHN,NL,P,7,,,2,1,0,1,,,,,
hevinjo01,1932,1,PHA,AL,C,28,,,85,5,0,2,3,,,,
highan01,1932,1,CIN,NL,2B,12,,,9,15,2,5,,,,,
highan01,1932,1,CIN,NL,3B,46,,,34,62,5,2,,,,,
hilchwh01,1932,1,CIN,NL,P,11,,,3,3,0,0,,,,,
hildeor01,1932,1,CLE,AL,P,27,,,9,13,1,2,,,,,
hoagmy01,1932,1,NYA,AL,1B,1,,,4,0,0,0,,,,,
hoagmy01,1932,1,NYA,AL,OF,35,,,22,3,1,0,,,,,
hodapjo01,1932,1,CLE,AL,2B,7,,,7,12,0,0,,,,,
hodapjo01,1932,2,CHA,AL,2B,5,,,16,14,5,5,,,,,
hodapjo01,1932,2,CHA,AL,3B,4,,,1,5,1,0,,,,,
hodapjo01,1932,2,CHA,AL,OF,31,,,58,0,2,0,,,,,
hogansh01,1932,1,NY1,NL,C,136,,,522,71,10,11,9,,,,
hogsech01,1932,1,DET,AL,P,47,,,8,46,3,4,,,,,
holladu01,1932,1,BSN,NL,OF,39,,,94,3,1,0,,,,,
holleed01,1932,1,PHI,NL,P,34,,,11,39,5,3,,,,,
holmwa01,1932,1,SLN,NL,OF,4,,,9,0,0,0,,,,,
hornsro01,1932,1,CHN,NL,3B,6,,,1,10,4,0,,,,,
hornsro01,1932,1,CHN,NL,OF,10,,,16,0,0,0,,,,,
hoytwa01,1932,1,BRO,NL,P,8,,,2,12,0,0,,,,,
hoytwa01,1932,2,NY1,NL,P,18,,,5,24,0,1,,,,,
hubbeca01,1932,1,NY1,NL,P,40,,,18,83,4,5,,,,,
hudliwi01,1932,1,CLE,AL,P,33,,,3,47,2,1,,,,,
