playerid,yearid,stint,teamid,lgid,wins,losses,games,gamesstarted,cg,sho,sv,ipouts,hits,er,hr,bb,so,baopp,era,ibb,wp,hbp,balks,bfp,gf,runs,sh,sf,gidp
meltoru01,1947,1,BRO,NL,0,1,4,1,0,0,0,14,7,7,1,7,1,0.35,13.5,,0,0,0,27,0,7,,,
meyerru01,1947,1,CHN,NL,3,2,23,2,1,0,0,135,43,17,4,14,22,0.25,3.4,,2,1,0,185,9,17,,,
milleox01,1947,1,CHN,NL,1,2,4,4,1,0,0,48,31,18,2,5,7,0.39,10.13,,0,0,0,83,0,18,,,
mouldgl01,1947,1,SLA,AL,4,2,32,2,0,0,2,219,78,31,4,43,23,0.28,3.82,,0,0,0,329,25,37,,,
mulcahu01,1947,1,PIT,NL,0,0,2,1,0,0,0,20,8,3,1,7,2,0.33,4.05,,0,0,0,31,1,7,,,
mullidi01,1947,1,BSN,NL,0,0,1,0,0,0,0,6,4,2,0,1,1,0.4,9,,0,0,1,11,1,2,,,
muncrbo01,1947,1,SLA,AL,8,14,31,23,7,0,0,529,210,96,14,51,74,0.29,4.9,,3,2,0,770,6,108,,,
mungere01,1947,1,SLN,NL,16,5,40,31,13,6,3,673,218,84,12,76,123,0.25,3.37,,4,2,0,936,6,94,,,
murphjo04,1947,1,BOS,AL,0,0,32,0,0,0,3,164,41,17,1,28,9,0.2,2.8,,2,0,0,231,16,17,,,
nagyst01,1947,1,PIT,NL,1,3,6,1,0,0,0,42,18,9,1,9,4,0.31,5.79,,2,0,0,68,1,10,,,
newhoha01,1947,1,DET,AL,17,17,40,36,24,3,2,855,268,91,9,110,176,0.24,2.87,,11,2,0,1216,4,105,,,
newsobo01,1947,1,WS1,AL,4,6,14,13,1,0,0,251,99,38,2,37,40,0.29,4.09,,1,1,1,381,0,44,,,
newsobo01,1947,2,NYA,AL,7,5,17,15,6,2,0,347,109,36,8,30,42,0.25,2.8,,0,2,0,475,1,38,,,
osterfr01,1947,1,PIT,NL,12,10,26,24,12,3,0,549,181,78,18,68,66,0.25,3.84,,5,1,0,789,0,94,,,
overmst01,1947,1,DET,AL,11,5,28,17,7,3,0,422,142,59,9,44,33,0.25,3.77,,0,1,0,600,8,62,,,
pagejo01,1947,1,NYA,AL,14,8,56,2,0,0,17,424,105,39,5,72,116,0.2,2.48,,1,1,0,584,44,41,,,
palicer01,1947,1,BRO,NL,0,1,3,0,0,0,0,9,2,1,0,2,1,0.18,3,,0,1,0,15,1,1,,,
papisfr01,1947,1,CHA,AL,12,12,38,26,6,1,3,597,185,72,6,98,79,0.24,3.26,,6,2,0,871,9,82,,,
parneme01,1947,1,BOS,AL,2,3,15,5,1,0,0,152,60,36,1,27,23,0.29,6.39,,4,1,1,232,5,41,,,
passecl01,1947,1,CHN,NL,2,6,19,6,1,1,2,190,97,44,7,24,26,0.35,6.25,,3,1,0,309,9,54,,,
perkoha01,1947,1,CIN,NL,0,0,3,1,0,0,0,22,12,3,1,3,2,0.37,3.68,,0,0,0,35,1,3,,,
peterke01,1947,1,CIN,NL,6,13,37,17,3,1,2,457,156,72,8,62,78,0.26,4.25,,2,3,1,661,13,74,,,
piconma01,1947,1,NY1,NL,0,0,2,1,0,0,0,21,10,6,1,2,1,0.34,7.71,,1,0,0,31,1,6,,,
pierema01,1947,1,WS1,AL,2,4,23,10,2,1,0,250,97,39,3,47,32,0.28,4.21,,3,2,0,394,6,50,,,
poatra01,1947,1,NY1,NL,4,3,7,7,5,0,0,180,53,17,8,13,25,0.23,2.55,,1,0,1,239,0,18,,,
polivke01,1947,1,CIN,NL,0,0,2,0,0,0,0,9,3,1,0,3,1,0.25,3,,0,0,0,15,2,1,,,
polleho01,1947,1,SLN,NL,9,11,37,24,9,0,2,529,195,85,11,87,73,0.28,4.34,,4,3,0,784,5,96,,,
posselo01,1947,1,PHI,NL,0,0,2,0,0,0,0,13,5,2,0,0,1,0.38,4.15,,0,1,0,16,1,2,,,
pottene01,1947,1,SLA,AL,4,10,32,10,3,0,2,368,130,55,13,44,65,0.27,4.04,,1,2,0,529,19,61,,,
queenme01,1947,1,NYA,AL,0,0,5,0,0,0,0,20,9,7,2,4,2,0.32,9.45,,0,1,0,33,2,7,,,
queenme01,1947,2,PIT,NL,3,7,14,12,2,0,0,222,70,33,8,51,34,0.24,4.01,,0,1,1,343,1,39,,,
raffeke01,1947,1,PHI,NL,2,6,10,7,3,1,0,123,50,25,4,8,16,0.3,5.49,,0,1,0,176,0,30,,,
raffeke01,1947,2,CIN,NL,6,5,19,15,7,0,1,320,132,49,11,29,38,0.3,4.13,,0,0,0,472,3,54,,,
ramsdwi01,1947,1,BRO,NL,1,1,2,0,0,0,0,8,4,2,0,3,3,0.33,6.75,,0,1,0,17,1,6,,,
raschvi01,1947,1,NYA,AL,7,2,15,14,6,1,0,314,89,45,11,38,51,0.22,3.87,,2,1,0,436,0,47,,,
reynoal01,1947,1,NYA,AL,19,8,34,30,17,4,2,725,207,86,23,123,129,0.22,3.2,,8,4,0,1045,3,94,,,
riddlel01,1947,1,CIN,NL,1,0,16,3,0,0,0,91,42,28,5,31,8,0.33,8.31,,0,1,0,159,6,30,,,
rignejo01,1947,1,CHA,AL,2,3,11,7,2,0,0,152,42,11,3,15,19,0.22,1.95,,1,0,0,203,3,15,,,
roepr01,1947,1,PIT,NL,4,15,38,22,4,1,2,432,156,84,19,63,59,0.27,5.25,,1,0,1,635,8,93,,,
rowesc01,1947,1,PHI,NL,14,10,31,28,15,1,1,587,232,94,22,45,74,0.29,4.32,,2,3,0,851,3,106,,,
ruffire01,1947,1,CHA,AL,3,5,9,9,1,0,0,159,63,36,7,16,11,0.29,6.11,,3,0,0,235,0,39,,,
sainjo01,1947,1,BSN,NL,21,12,38,35,22,3,1,798,265,104,19,79,132,0.25,3.52,,3,4,0,1131,3,117,,,
sanfofr01,1947,1,SLA,AL,7,16,34,23,9,0,4,560,186,77,17,76,62,0.26,3.71,,3,0,0,803,7,89,,,
